"Timestamp (ms)","Ozone (PPB)","Air quality (VOC)","Accelerometer X (milli-g)","Accelerometer Y (milli-g)","Accelerometer Z (milli-g)","Gyroscope X (deg/s)","Gyroscope Y (deg/s)","Gyroscope Z (deg/s)","Magnetometer X (uT)","Magnetometer Y (uT)","Magnetometer Z (uT)","IMU Temperature (C)","BME280 Temperature (C)","Pressure (Pa)","Humidity (%RH)","Ultrasonic 1 (ms)","Ultrasonic 2 (ms)","Ultrasonic 3 (ms)","Vibration 1 Period (ms)","Vibration 2 Period (ms)",1148,0,0, 2.0507811E+01, 9.9707025E+02,-2.7343748E+01, 8.9312977E-01, 4.1221374E-01,-5.0152674E+00,-2.2350000E+01, 2.9550001E+01,-1.3755000E+02, 4.1687691E+01, 3.8700001E+01, 9.0625914E+04, 1.3775391E+01, 6.2800002E-01, 0.0000000E+00, 6.7000002E-01,0,0,
58501,20,20, 2.1777342E+02, 9.1699213E+02, 1.2744140E+02,-3.2503819E+01,-1.4030535E+01, 3.4687023E+01,-4.9050003E+01, 4.6500000E+01,-1.2120000E+02, 4.3508759E+01, 3.9029999E+01, 9.0619156E+04, 1.3724609E+01, 6.2900001E-01, 0.0000000E+00, 6.6900003E-01,0,0,
59651,20,20, 3.7451169E+02, 6.7871088E+02, 5.4882813E+02,-1.1954199E+01, 1.9267176E+01,-9.3664122E+00,-5.1900002E+01, 5.6250004E+01,-9.5850006E+01, 4.3364990E+01, 3.9040001E+01, 9.0628688E+04, 1.3531250E+01, 6.2900001E-01, 0.0000000E+00, 6.6900003E-01,0,0,
60801,20,21, 1.3085938E+02, 6.8359369E+02, 6.6650385E+02,-2.5572519E+00,-6.8778625E+00, 5.1679387E+00,-3.0600000E+01, 5.6400002E+01,-7.6350006E+01, 4.3269150E+01, 3.9049999E+01, 9.0610906E+04, 1.3337891E+01, 6.2900001E-01, 0.0000000E+00, 6.7000002E-01,31,0,
61953,20,21, 2.0703123E+02, 2.4707030E+02, 1.0258789E+03,-5.8473282E+00, 1.7748091E+01, 2.0083969E+01,-3.3750000E+01, 3.7050003E+01,-5.3250004E+01, 4.3460838E+01, 3.9040001E+01, 9.0622469E+04, 1.3156250E+01, 6.2900001E-01, 0.0000000E+00, 6.6299999E-01,0,1,
63105,20,21, 7.4560541E+02,-9.3749992E+01,-7.7197260E+02,-5.0442749E+01, 6.4503818E+00, 8.5793892E+01,-9.7500000E+00, 2.6250002E+01,-5.2800003E+01, 4.3508759E+01, 3.9049999E+01, 9.0623711E+04, 1.3036133E+01, 6.2900001E-01, 0.0000000E+00, 6.7799997E-01,0,9,
64256,20,21, 1.2255859E+02,-7.2265625E+01, 9.6142572E+02, 4.6641221E+00, 4.4274807E+00, 1.3175572E+01, 1.8600000E+01, 2.0100000E+01,-7.9800003E+01, 4.3077454E+01, 3.9049999E+01, 9.0627891E+04, 1.3023438E+01, 6.3700002E-01, 0.0000000E+00, 6.7000002E-01,0,1,
65405,20,22,-1.0498046E+02, 3.4179685E+00, 1.0058593E+03, 7.0229006E+00,-1.4732825E+00,-3.1778625E+01, 2.2650002E+01, 2.2800001E+01,-8.0250000E+01, 4.3364990E+01, 3.9060001E+01, 9.0628266E+04, 1.3036133E+01, 6.2900001E-01, 0.0000000E+00, 6.7799997E-01,0,0,
66556,20,22,-1.2207030E+01,-1.2695312E+01, 1.0205078E+03,-3.7099237E+00,-2.9770992E+00,-2.8549619E+00, 2.6400002E+01, 2.4900002E+01,-7.8300003E+01, 4.3077454E+01, 3.9060001E+01, 9.0626531E+04, 1.3036133E+01, 6.2900001E-01, 0.0000000E+00, 6.7000002E-01,0,0,
67705,20,23, 7.8613281E+01, 2.9296873E+00, 1.1845703E+03,-1.2412213E+01,-2.8778627E+00,-5.2671757E+00, 2.4450001E+01, 2.5050001E+01,-7.9500000E+01, 4.3508759E+01, 3.9060001E+01, 9.0629977E+04, 1.0000000E+02, 6.3700002E-01, 0.0000000E+00, 6.6200000E-01,0,0,
68856,20,23, 5.4199215E+01,-2.5878904E+01, 9.7167963E+02,-4.8778625E+00,-3.0839694E+00, 4.4725189E+01,-4.1700001E+01, 3.1050001E+01,-8.2350006E+01, 4.3125378E+01, 3.9070000E+01, 9.0632250E+04, 1.3048828E+01, 6.3700002E-01, 0.0000000E+00, 6.6200000E-01,0,0,
70006,20,24, 3.8574219E+01, 1.3671874E+01, 1.0214843E+03, 5.7175574E+00,-2.2900763E-01,-4.1290077E+01,-3.2400002E+01, 2.8500002E+01,-5.1150002E+01, 4.3508759E+01, 3.9070000E+01, 9.0633648E+04, 1.3036133E+01, 6.2900001E-01, 0.0000000E+00, 6.7000002E-01,0,0,
71158,20,24,-5.3710933E+00,-3.9062498E+00, 9.8876947E+02,-5.1145041E-01,-2.3740458E+00, 1.4427481E+00,-3.0600000E+01, 2.9850000E+01,-5.0700001E+01, 4.3364990E+01, 3.9070000E+01, 9.0639367E+04, 1.3073242E+01, 6.2800002E-01, 0.0000000E+00, 6.6200000E-01,0,0,
72308,20,25,-2.0507811E+01, 1.1230468E+01, 1.0117187E+03, 1.0229008E+00, 8.8549620E-01, 3.8778627E+00,-3.3600002E+01, 3.0150002E+01,-5.0250004E+01, 4.3700455E+01, 3.9070000E+01, 9.0629172E+04, 1.3084961E+01, 6.3700002E-01, 0.0000000E+00, 6.7000002E-01,0,0,
73458,20,25,-3.3105466E+02,-2.7685547E+02, 8.2470697E+02, 9.6030531E+00,-1.7480916E+00,-4.6564884E+00, 6.9000001E+00, 2.8050001E+01,-5.5650002E+01, 4.3652531E+01, 3.9080002E+01, 9.0631422E+04, 1.3084961E+01, 6.3700002E-01, 0.0000000E+00, 6.7000002E-01,0,0,
74609,20,26,-3.9062498E+00,-1.6406248E+02, 1.0297852E+03, 2.2137405E-01,-6.2748094E+00,-6.2625954E+01,-4.0200001E+01, 2.5050001E+01,-8.8050003E+01, 4.3604607E+01, 3.9080002E+01, 9.0637297E+04, 1.3097656E+01, 6.2900001E-01, 0.0000000E+00, 6.6200000E-01,0,0,
75760,20,26, 3.2714844E+01,-5.3710933E+00, 1.0112304E+03, 7.0381680E+00,-1.9923664E+00,-2.1152672E+01,-4.9950001E+01, 3.1350000E+01,-6.9750000E+01, 4.3508759E+01, 3.9080002E+01, 9.0630938E+04, 1.3109375E+01, 6.2800002E-01, 0.0000000E+00, 6.7799997E-01,0,0,
76910,20,27, 1.2548827E+02, 2.5390623E+01, 1.0102538E+03, 7.2977099E+00,-5.4885497E+00,-7.3221375E+01,-4.2600002E+01, 3.0150002E+01,-7.0650002E+01, 4.3508759E+01, 3.9090000E+01, 9.0632500E+04, 1.3122070E+01, 6.3700002E-01, 0.0000000E+00, 6.7100000E-01,0,0,
